Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
в	None	None	1	6399	10262	8	1	42479.321	36100.499	1.000	1.000	107.109	0.076
не	None	None	2	2604	4324	8	1	17286.475	15211.319	1.000	1.000	26.715	0.033
но	None	None	3	980	1484	8	1	6505.663	5220.536	1.000	1.000	28.272	0.013
за	None	None	4	812	1145	8	1	5390.406	4027.974	1.000	1.000	39.722	0.011
у	None	None	5	762	888	8	1	5058.485	3123.879	1.000	1.000	93.606	0.010
я	None	None	6	847	836	8	1	5622.751	2940.949	1.000	1.000	174.658	0.011
мы	None	None	7	632	620	8	1	4195.489	2181.086	1.000	1.000	132.287	0.008
очень	None	None	8	299	369	8	1	1984.891	1298.098	1.000	1.000	29.184	0.004
после	None	None	9	380	365	8	1	2522.604	1284.027	1.000	1.000	83.854	0.005
будет	None	None	10	252	291	8	1	1672.885	1023.703	1.000	1.000	31.924	0.003
россии	None	None	11	253	281	8	1	1679.523	988.525	1.000	1.000	36.688	0.003
нас	None	None	12	239	275	8	1	1586.585	967.417	1.000	1.000	30.670	0.003
раз	None	None	13	214	244	8	1	1420.624	858.363	1.000	1.000	28.363	0.003
вы	None	None	14	242	242	8	1	1606.500	851.327	1.000	1.000	48.051	0.003
мне	None	None	15	247	215	8	1	1639.693	756.344	1.000	1.000	68.428	0.003
да	None	None	16	205	210	8	1	1360.878	738.755	1.000	1.000	38.076	0.003
меня	None	None	17	289	173	8	1	1918.507	608.593	1.000	1.000	149.083	0.004
два	None	None	18	197	151	8	1	1307.771	531.200	1.000	1.000	69.877	0.003
перед	None	None	19	144	146	8	1	955.934	513.611	1.000	1.000	27.520	0.002
нам	None	None	20	156	143	8	1	1035.595	503.057	1.000	1.000	38.498	0.002
мира	None	None	21	183	131	8	1	1214.833	460.842	1.000	1.000	72.865	0.002
м	None	None	22	174	118	8	1	1155.087	415.110	1.000	1.000	75.377	0.002
первый	None	None	23	121	116	8	1	803.250	408.074	1.000	1.000	26.797	0.002
место	None	None	24	133	87	8	1	882.911	306.056	1.000	1.000	60.749	0.002
второй	None	None	25	124	84	8	1	823.165	295.502	1.000	1.000	53.794	0.002
против	None	None	26	118	73	8	1	783.335	256.805	1.000	1.000	58.245	0.002
команды	None	None	27	278	70	8	1	1845.484	246.252	1.000	1.000	299.888	0.004
счет	None	None	28	105	67	8	1	697.035	235.698	1.000	1.000	49.672	0.001
александр	None	None	29	74	55	8	1	491.244	193.483	1.000	1.000	27.675	0.001
удалось	None	None	29	71	55	8	1	471.329	193.483	1.000	1.000	24.700	0.001
д	None	None	31	91	54	8	1	604.097	189.966	1.000	1.000	47.438	0.001
н	None	None	32	82	52	8	1	544.351	182.930	1.000	1.000	39.125	0.001
знаю	None	None	33	62	46	8	1	411.583	161.823	1.000	1.000	23.255	0.001
россия	None	None	34	165	44	8	1	1095.341	154.787	1.000	1.000	172.260	0.002
поле	None	None	34	109	44	8	1	723.589	154.787	1.000	1.000	84.991	0.001
команд	None	None	36	74	38	8	1	491.244	133.679	1.000	1.000	45.759	0.001
могу	None	None	36	65	38	7	1	431.498	133.679	0.875	1.000	34.529	0.001
спорта	None	None	38	76	37	8	1	504.521	130.162	1.000	1.000	49.726	0.001
первой	None	None	39	69	36	8	1	458.052	126.644	1.000	1.000	41.928	0.001
й	None	None	40	151	35	8	1	1002.403	123.126	1.000	1.000	170.148	0.002
думаю	None	None	40	105	35	8	1	697.035	123.126	1.000	1.000	94.994	0.001
наша	None	None	40	57	35	8	1	378.391	123.126	1.000	1.000	28.412	0.001
главный	None	None	43	99	32	8	1	657.205	112.572	1.000	1.000	91.509	0.001
марта	None	None	43	50	32	8	1	331.922	112.572	1.000	1.000	23.550	0.001
получил	None	None	45	58	30	8	1	385.029	105.536	1.000	1.000	35.580	0.001
будем	None	None	45	51	30	8	1	338.560	105.536	1.000	1.000	26.880	0.001
команда	None	None	47	208	29	8	1	1380.794	102.019	1.000	1.000	289.741	0.003
чемпионата	None	None	48	166	28	8	1	1101.980	98.501	1.000	1.000	215.764	0.002
европы	None	None	48	76	28	8	1	504.521	98.501	1.000	1.000	63.826	0.001
владимир	None	None	48	54	28	8	1	358.475	98.501	1.000	1.000	33.036	0.001
конца	None	None	48	49	28	8	1	325.283	98.501	1.000	1.000	26.776	0.001
минут	None	None	52	63	27	8	1	418.221	94.983	1.000	1.000	46.606	0.001
наверное	None	None	52	55	27	8	1	365.114	94.983	1.000	1.000	35.675	0.001
последний	None	None	52	55	27	8	1	365.114	94.983	1.000	1.000	35.675	0.001
первом	None	None	55	82	26	8	1	544.351	91.465	1.000	1.000	76.793	0.001
состав	None	None	55	68	26	8	1	451.413	91.465	1.000	1.000	55.451	0.001
итоге	None	None	57	47	24	8	1	312.006	84.429	1.000	1.000	29.238	0.001
б	None	None	58	237	23	8	1	1573.308	80.911	1.000	1.000	366.870	0.003
следующий	None	None	59	50	22	8	1	331.922	77.393	1.000	1.000	36.108	0.001
третий	None	None	59	44	22	8	1	292.091	77.393	1.000	1.000	27.995	0.001
команду	None	None	61	83	21	8	1	550.990	73.876	1.000	1.000	89.245	0.001
чемпионат	None	None	62	104	18	8	1	690.397	63.322	1.000	1.000	133.781	0.001
сезона	None	None	62	92	18	8	1	610.736	63.322	1.000	1.000	112.378	0.001
буду	None	None	62	48	18	8	1	318.645	63.322	1.000	1.000	39.751	0.001
москва	None	None	65	67	17	8	1	444.775	59.804	1.000	1.000	71.925	0.001
февраля	None	None	65	36	17	8	1	238.984	59.804	1.000	1.000	24.289	0.000
алексей	None	None	65	36	17	8	1	238.984	59.804	1.000	1.000	24.289	0.000
накануне	None	None	65	35	17	8	1	232.345	59.804	1.000	1.000	22.951	0.000
андрей	None	None	69	57	16	8	1	378.391	56.286	1.000	1.000	57.708	0.001
четырех	None	None	69	42	16	8	1	278.814	56.286	1.000	1.000	34.347	0.001
повезло	None	None	69	35	16	8	1	232.345	56.286	1.000	1.000	24.378	0.000
чемпионате	None	None	72	119	15	8	1	789.973	52.768	1.000	1.000	171.198	0.002
кубок	None	None	72	97	15	8	1	643.928	52.768	1.000	1.000	130.269	0.001
