Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
вы	None	None	1	458	242	3	1	18543.261	851.327	1.000	1.000	1459.067	0.036
во	None	None	2	447	446	3	1	18097.899	1568.975	1.000	1.000	1101.264	0.035
сне	None	None	3	424	8	3	1	17166.687	28.143	1.000	1.000	2070.807	0.034
если	None	None	4	401	589	3	1	16235.475	2072.032	1.000	1.000	792.443	0.031
вам	None	None	5	345	67	3	1	13968.177	235.698	1.000	1.000	1392.876	0.027
вас	None	None	5	337	78	3	1	13644.277	274.395	1.000	1.000	1318.821	0.027
к	None	None	7	300	1572	3	1	12146.241	5530.110	1.000	1.000	131.113	0.023
то	None	None	8	295	1429	3	1	11943.803	5027.053	1.000	1.000	151.858	0.022
или	None	None	9	240	690	3	1	9716.993	2427.338	1.000	1.000	266.788	0.019
значит	None	None	10	185	79	3	1	7490.182	277.913	1.000	1.000	626.940	0.015
видеть	None	None	11	179	23	3	1	7247.257	80.911	1.000	1.000	766.249	0.014
наяву	None	None	12	130	1	3	1	5263.371	3.518	1.000	1.000	645.931	0.010
предвещает	None	None	12	126	0	3	0	5101.421	0.000	1.000	0.000	637.258	0.010
означает	None	None	14	109	37	3	1	4413.134	130.162	1.000	1.000	392.058	0.009
сон	None	None	15	90	10	3	1	3643.872	35.179	1.000	1.000	391.708	0.007
жизни	None	None	16	73	193	3	1	2955.585	678.951	1.000	1.000	88.526	0.006
себя	None	None	16	76	238	3	1	3077.048	837.256	1.000	1.000	76.248	0.006
может	None	None	16	75	432	3	1	3036.560	1519.725	1.000	1.000	26.040	0.006
ваших	None	None	19	59	5	3	1	2388.761	17.589	1.000	1.000	263.989	0.005
увидеть	None	None	19	66	25	3	1	2672.173	87.947	1.000	1.000	230.811	0.005
будет	None	None	19	65	291	3	1	2631.685	1023.703	1.000	1.000	38.583	0.005
делах	None	None	22	55	8	3	1	2226.811	28.143	1.000	1.000	231.396	0.004
ваши	None	None	22	47	14	3	1	1902.911	49.250	1.000	1.000	174.178	0.004
друзей	None	None	22	46	15	3	1	1862.424	52.768	1.000	1.000	166.958	0.004
придется	None	None	22	54	51	3	1	2186.323	179.412	1.000	1.000	135.972	0.004
кто	None	None	22	54	291	3	1	2186.323	1023.703	1.000	1.000	22.018	0.004
снится	None	None	27	40	0	3	0	1619.499	0.000	1.000	0.000	202.176	0.003
знак	None	None	27	41	4	3	1	1659.986	14.072	1.000	1.000	180.901	0.003
вашей	None	None	27	38	11	3	1	1538.524	38.697	1.000	1.000	141.706	0.003
можете	None	None	27	31	7	2	1	1255.112	24.625	0.667	1.000	121.534	0.003
вами	None	None	27	34	14	2	1	1376.574	49.250	0.667	1.000	116.223	0.003
см	None	None	27	38	23	2	1	1538.524	80.911	0.667	1.000	115.054	0.003
болезни	None	None	27	34	15	3	1	1376.574	52.768	1.000	1.000	113.974	0.003
кого	None	None	27	42	45	3	1	1700.474	158.305	1.000	1.000	99.271	0.003
котором	None	None	27	43	58	2	1	1740.961	204.037	0.667	1.000	89.214	0.003
вскоре	None	None	27	34	45	3	1	1376.574	158.305	1.000	1.000	71.351	0.003
дела	None	None	27	35	51	3	1	1417.061	179.412	1.000	1.000	69.158	0.003
